iter	Logloss
371	0.2097085581
372	0.2096612806
373	0.2096408569
374	0.2096252015
375	0.2095829174
376	0.2095691557
377	0.209555346
378	0.209542613
379	0.2095230346
380	0.2094983989
381	0.2094815777
382	0.2094658002
383	0.2094503651
384	0.2094353029
385	0.2094163862
386	0.209394967
387	0.2093832238
388	0.2093704405
389	0.2093538502
390	0.209310788
391	0.2092913947
392	0.2092710838
393	0.2092494599
394	0.2092369902
395	0.2092122919
396	0.209198403
397	0.2091802339
398	0.2091611584
399	0.2091433262
400	0.2091341277
401	0.2091171409
402	0.209097597
403	0.2090819448
404	0.2090686844
405	0.2090436809
406	0.2090166809
407	0.2089884142
408	0.2089662617
409	0.2089320263
410	0.2089130982
411	0.208900291
412	0.2088918417
413	0.2088783546
414	0.2088581783
415	0.2088154321
416	0.2087964963
417	0.2087537965
418	0.2087170037
419	0.2087048261
420	0.2086885459
421	0.2086739921
422	0.208657772
423	0.2086319755
424	0.2086101477
425	0.2085956688
426	0.2085731367
427	0.2085454718
428	0.208520238
429	0.2085089905
430	0.208469156
431	0.2084616139
432	0.2084513849
433	0.2084267276
434	0.2084158995
435	0.2084064622
436	0.2083961701
437	0.2083584304
438	0.2083479939
439	0.2083263724
440	0.2083156434
441	0.208277234
442	0.2082624776
443	0.2082552365
444	0.2082413409
445	0.2082258282
446	0.2082062361
447	0.2081814963
448	0.2081489947
449	0.2081273055
450	0.2081210156
451	0.2081110409
452	0.2080760798
453	0.2080650148
454	0.2080461797
455	0.2080178071
456	0.2079887811
457	0.207979651
458	0.2079699593
459	0.2079641588
460	0.2079313143
461	0.2078962607
462	0.2078743812
463	0.207866506
464	0.2078381134
465	0.207828303
466	0.2078073054
467	0.207790684
468	0.2077811592
469	0.2077718446
470	0.2077517808
471	0.2077212123
472	0.207695252
473	0.2076658146
474	0.2076561566
475	0.2076432978
476	0.2076235764
477	0.2076085294
478	0.2075827566
479	0.2075742128
480	0.2075655814
481	0.2075597926
482	0.2075433805
483	0.20753473
484	0.2075110432
485	0.207490797
486	0.2074690441
487	0.2074596983
488	0.2074356302
489	0.2074209704
490	0.2073926811
491	0.2073758123
492	0.2073464362
493	0.2073300217
494	0.2073216927
495	0.2073079113
496	0.2072930454
497	0.2072791611
498	0.2072704689
499	0.2072511881
