iter	Logloss
0	0.6810283135
1	0.6687211247
2	0.6566187205
3	0.6453973141
4	0.6343629895
5	0.6237466885
6	0.612627392
7	0.6022624181
8	0.592439408
9	0.583036683
10	0.5735857191
11	0.5644612401
12	0.5556995035
13	0.5472701812
14	0.5386380676
15	0.5303382775
16	0.5225619415
17	0.5144689846
18	0.5068664164
19	0.499420691
20	0.4924178366
21	0.4855402724
22	0.4787628575
23	0.4721292777
24	0.4657127473
25	0.4593328785
26	0.4532473508
27	0.4475158888
28	0.4413612701
29	0.4357075385
30	0.4301103849
31	0.4248565611
32	0.4198745232
33	0.4148757974
34	0.40990971
35	0.4052032209
36	0.400516242
37	0.3960890482
38	0.3918408086
39	0.3872063657
40	0.3830993132
41	0.3788242698
42	0.3750390351
43	0.3713296159
44	0.3676137152
45	0.3638239523
46	0.3602029086
47	0.356331772
48	0.3530593197
49	0.3498007881
50	0.34662025
51	0.343487601
52	0.3404476808
53	0.3375274713
54	0.334656388
55	0.3318369188
56	0.3287769288
57	0.3261681032
58	0.3235811512
59	0.3209299698
60	0.3186110637
61	0.3162274718
62	0.3139724519
63	0.3117044979
64	0.309615401
65	0.3073249031
66	0.3052112384
67	0.3031724706
68	0.3011269458
69	0.2991659176
70	0.2973440421
71	0.2954595655
72	0.2936028856
73	0.2918145076
74	0.2901364618
75	0.2883786799
76	0.2866497557
77	0.2850361701
78	0.2834941914
79	0.2820071447
80	0.280562838
81	0.2791312453
82	0.2776942156
83	0.2762953088
84	0.2749572715
85	0.2735722625
86	0.2723161935
87	0.2710203662
88	0.2698328227
89	0.268689969
90	0.2675791786
91	0.2663882924
92	0.2653241058
93	0.2642078219
94	0.2631108492
95	0.2620580671
96	0.2610423378
97	0.2600596555
98	0.2590942095
99	0.2582543687
100	0.257379195
101	0.2565399568
102	0.2557099669
103	0.2548180569
104	0.2540691998
105	0.2531928078
106	0.2524225934
107	0.2514672627
108	0.2506232026
109	0.2498334729
110	0.2490071432
111	0.248276451
112	0.2475648787
113	0.2468251842
114	0.2461034415
115	0.2453855307
116	0.2447298637
117	0.2440588087
118	0.2433973662
119	0.2427677526
120	0.2421173084
121	0.241475659
122	0.2408766915
123	0.2402732343
124	0.2396815072
125	0.2391424652
126	0.2386230403
127	0.2380961394
128	0.2375810163
129	0.2370686731
130	0.2365515046
131	0.2360798199
132	0.2355832023
133	0.2351006353
134	0.2346558428
135	0.2342153196
136	0.233790094
137	0.2333692285
138	0.2329635021
139	0.2325534404
140	0.2321548363
141	0.2317808898
142	0.2313945955
143	0.2310375547
144	0.2306788052
145	0.2303535807
146	0.2299778348
147	0.2296158907
148	0.2292721681
149	0.2289602392
150	0.2286299256
151	0.2283167881
152	0.2280114238
153	0.2277292239
154	0.2274040292
155	0.2271424214
156	0.2268493368
157	0.2265585855
158	0.2262746326
159	0.2260092915
160	0.2257589296
161	0.2254998052
162	0.225280232
163	0.2250493377
164	0.2248246567
165	0.2245939651
166	0.2243768287
167	0.2241538534
168	0.2239387885
169	0.2237303921
170	0.22352156
171	0.2232953394
172	0.2231028939
173	0.2229229304
174	0.2227030026
175	0.222509845
176	0.222328134
177	0.2221333696
178	0.2219498492
179	0.22177689
180	0.2216173142
181	0.2214374776
182	0.2212642529
183	0.221089218
184	0.2209203016
185	0.2207530138
186	0.2206066049
187	0.2204499342
188	0.2202922301
189	0.2201380823
190	0.2199862784
191	0.2198469373
192	0.2197214346
193	0.2195943414
194	0.2194675532
195	0.2193217687
196	0.2192056798
197	0.2190918753
198	0.2189700261
199	0.2188406864
200	0.218718742
201	0.2186092522
202	0.2184812684
203	0.2183666162
204	0.2182533575
205	0.2181382737
206	0.2180290452
207	0.2179181034
208	0.2178302847
209	0.2177273827
210	0.2176266386
211	0.2175156004
212	0.2174265501
213	0.2173401801
214	0.2172549225
215	0.2171661799
216	0.2170637765
217	0.2169771825
218	0.2168901399
219	0.2168156661
220	0.2167409905
221	0.216661312
222	0.2165802824
223	0.2165079818
224	0.2164179505
225	0.2163499466
226	0.2161853974
227	0.2161112476
228	0.2160337561
229	0.2159594222
230	0.2158915441
231	0.2158193547
232	0.2157531778
233	0.2156752508
234	0.215596461
235	0.2155410448
236	0.2154755019
237	0.2154036161
238	0.2153402458
239	0.2152883951
240	0.2152376538
241	0.2151617636
242	0.215024777
243	0.2148645374
244	0.2148162023
245	0.2147711356
246	0.2147180441
247	0.2146342589
248	0.2145046885
249	0.2144469571
250	0.2143927072
251	0.2143418476
252	0.2142996298
253	0.2142587577
254	0.2141939016
255	0.2141538648
256	0.2140365098
257	0.2139904774
258	0.2139429213
259	0.2139027448
260	0.2138386728
261	0.213796571
262	0.2137481357
263	0.2136978808
264	0.2136052843
265	0.2135704241
266	0.2135281349
267	0.2134828566
268	0.2134476015
269	0.2133983765
270	0.2133220155
271	0.2132449149
272	0.2132053186
273	0.2131400138
274	0.2130946502
275	0.2130334469
276	0.2129956187
277	0.2129490531
278	0.2128601872
279	0.21283006
280	0.2127551537
281	0.2127109551
282	0.2126846525
283	0.2126194445
284	0.2125641656
285	0.212519235
286	0.2124939643
287	0.2124691576
288	0.2124377654
289	0.2123977716
290	0.2123689143
291	0.2123139328
292	0.2122827274
293	0.2122596035
294	0.2122255856
295	0.2121933312
296	0.212139907
297	0.2121137202
298	0.2120916415
299	0.212066199
300	0.2120246319
301	0.2119997073
302	0.2119793296
303	0.2119525941
304	0.2119253956
305	0.2118673103
306	0.2118335361
307	0.2117870438
308	0.2117682921
309	0.2117256099
310	0.2116914764
311	0.2116647938
312	0.2116301237
313	0.2116060198
314	0.2115846626
315	0.2115322363
316	0.2114990265
317	0.2114325823
318	0.2113999984
319	0.2113709066
320	0.2113273784
321	0.2112967988
322	0.2112304264
323	0.211214331
324	0.2111833095
325	0.21113665
326	0.2110791024
327	0.2110391669
328	0.2109775089
329	0.2109497621
330	0.2108874101
331	0.2108285006
332	0.2108004633
333	0.2107805045
334	0.2107504444
335	0.2107205753
336	0.21069408
337	0.2106687526
338	0.210612485
339	0.2105756608
340	0.2105633041
341	0.2105040639
342	0.2104504187
343	0.2104096671
344	0.2103921513
345	0.2103762284
346	0.2103562056
347	0.2103234298
348	0.2102890596
349	0.2102761993
350	0.2102591315
351	0.2102074959
352	0.2101890166
353	0.2101556712
354	0.2101368811
355	0.2101253933
356	0.210074123
357	0.2100258735
358	0.2100017745
359	0.2099788487
360	0.2099656042
361	0.2099410869
362	0.2099302922
363	0.2099036217
364	0.2098894128
365	0.2098760563
366	0.2098448763
367	0.2098129626
368	0.209798331
369	0.2097881372
370	0.2097395985
